CODICE_UNITA_UG;CODICE_FISCALE;RAGIONE_SOCIALE;DESC_FG;FG;CODICE_REG
4981;00067530709;COMUNE DI TERMOLI;Comune;2430;14
12309;00108190141;COMUNE DI PIATEDA;Comune;2430;03
154760;00815750286;E.S.U. DI PADOVA - AZIENDA REGIONALE PER IL DIRITTO ALLO STUDIO UNIVERSITARIO;Altro ente pubblico non economico locale;2791;05
22285506;90038780442;AMMINISTRAZIONE PROVINCIALE DI FERMO;Provincia;2420;11
27925141;91342750378;AGENZIA TERRITORIALE DELL'EMILIA ROMAGNA PER I SERVIZI IDRICI E I RIFIUTI-ATERSIR;Altro ente pubblico non economico locale;2791;08
63957;00322440223;AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA GIOVANNI ENDRIZZI;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
723712;83001130240;CASA DI RICOVERO MUZAN;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;05
752236;93009870234;UNIVERSITA' DEGLI STUDI DI VERONA;Universita' pubblica;2620;05
7546957;82001090222;AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA SAN GAETANO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
738423;91005820922;C.I.S.A. - CONSORZIO INTERCOMUNALE DI SALVAGUARDIA AMBIENTALE;Consorzio di diritto pubblico;2740;20
742879;92001980256;UNIONE MONTANA COMELICO;Unione di comuni;2450;05
743272;92002760129;ENTE PARCO REGIONALE CAMPO DEI FIORI;Ente parco;2751;03
747057;92015630707;E.S.U. - ENTE PER IL DIRITTO ALLO STUDIO UNIVERSITARIO REGIONE MOLISE;Altro ente pubblico non economico locale;2791;14
747783;92022260050;ENTE DI GESTIONE DEL PARCO PALEONTOLOGICO ASTIGIANO;Ente parco;2751;01
748614;92033190395;AUTORITA' DI SISTEMA PORTUALE DEL MARE ADRIATICO CENTRO-SETTENTRIONALE;Ente o autorita' portuale;2752;08
748789;92038610371;AZIENDA OSPEDALIERO-UNIVERSITARIA DI BOLOGNA IRCCS ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO;Azienda o ente del servizio sanitario nazionale;2500;08
755465;94003030130;ENTE PER LA GESTIONE DEL PARCO REGIONALE DI MONTEVECCHIA E DELLA VALLE DEL CURONE;Ente parco;2751;03
758769;94506780017;ENTE DI GESTIONE DELLE AREE PROTETTE DELLE ALPI COZIE;Ente parco;2751;01
759613;95002760825;ENTE PARCO DELLE MADONIE;Ente parco;2751;19
11140201;81001970409;COMUNE DI GATTEO;Comune;2430;08
11140214;81002030641;COMUNE DI ZUNGOLI;Comune;2430;15
11140768;81006650212;COMUNE DI BRENNERO;Comune;2430;04
11141053;82000470649;COMUNE DI LACEDONIA;Comune;2430;15
11141054;82000490415;COMUNE DI SANT'ANGELO IN VADO;Comune;2430;11
11141514;82002890653;COMUNE DI FELITTO;Comune;2430;15
11141729;82005110604;COMUNE DI COLLE SAN MAGNO;Comune;2430;12
11142218;83001210638;COMUNE DI LACCO AMENO;Comune;2430;15
11142861;84000770226;COMUNE DI DRENA;Comune;2430;04
11143055;84003370016;COMUNE DI ANDRATE;Comune;2430;01
11143470;85003090017;COMUNE DI FENESTRELLE;Comune;2430;01
11151218;93003450017;COMUNE DI SAMONE;Comune;2430;01
11155412;97104250580;AGENZIA PER LA RAPPRESENTANZA NEGOZIALE DELLE PUBBLICHE AMMINISTRAZIONI - ARAN;Agenzia dello Stato;2230;12
11301289;00161690664;COMUNE DI ANVERSA DEGLI ABRUZZI;Comune;2430;13
11301383;00315980474;COMUNE DI AGLIANA;Comune;2430;09
11303688;80009370471;COMUNE DI SAMBUCA PISTOIESE;Comune;2430;09
12502591;01299530012;COMUNE DI SAUZE DI CESANA;Comune;2430;01
12504075;80003190560;COMUNE DI LUBRIANO;Comune;2430;12
12514473;81000170803;COMUNE DI ANTONIMINA;Comune;2430;18
61254;00309330124;COMUNE DI SUMIRAGO;Comune;2430;03
61286;00309450120;COMUNE DI CASTIGLIONE OLONA;Comune;2430;03
62606;00315230771;COMUNE DI SAN GIORGIO LUCANO;Comune;2430;17
63951;00322400342;COMUNE DI FORNOVO DI TARO;Comune;2430;08
64864;00327150280;COMUNE DI LIMENA;Comune;2430;05
65459;00330920190;COMUNE DI DOVERA;Comune;2430;03
65930;00333900181;COMUNE DI CERVESINA;Comune;2430;03
66306;00336080429;COMUNE DI CASTELPLANIO;Comune;2430;11
66932;00339800161;COMUNE DI GRUMELLO DEL MONTE;Comune;2430;03
67265;00341710127;COMUNE DI CASORATE SEMPIONE;Comune;2430;03
67890;00345090237;COMUNE DI BARDOLINO;Comune;2430;05
68473;00348180787;COMUNE DI SAN GIOVANNI IN FIORE;Comune;2430;18
69768;00355580028;COMUNE DI VERCELLI;Comune;2430;01
69857;00356080440;COMUNE DI ACQUASANTA TERME;Comune;2430;11
70189;00357850395;COMUNE DI FAENZA;Comune;2430;08
70684;00360650410;COMUNE DI MONTECALVO IN FOGLIA;Comune;2430;11
73251;00376030177;COMUNE DI SAN ZENO NAVIGLIO;Comune;2430;03
7554510;85001990044;CONSORZIO DEL BACINO IMBRIFERO MONTANO DEL VARAITA;Consorzio di diritto pubblico;2740;01
720233;82000570505;AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA 'DEL CAMPANA GUAZZE;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;09
7515045;80014030227;MUSEO ETNOGRAFICO TRENTINO SAN MICHELE;Altro ente pubblico non economico locale;2791;04
9181915;92000030244;CONSORZIO DI POLIZIA LOCALE ALTO VICENTINO;Consorzio di diritto pubblico;2740;05
10719301;01608900039;CONSORZIO INTERCOMUNALE SERVIZI SOCIO ASSISTENZIALI - ZONA CUSIO;Consorzio di diritto pubblico;2740;01
11142689;83008240026;CASA DI RIPOSO BORSETTI SELLA FACENDA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;01
700178;80002070524;UNIVERSITA' DEGLI STUDI DI SIENA;Universita' pubblica;2620;09
704216;80006770871;REGIONE SICILIANA E.R.S.U. UNIVERSITA' DEGLI STUDI DI CATANIA;Altro ente pubblico non economico locale;2791;19
12511223;80185250588;MINISTERO DELL'ISTRUZIONE E DEL MERITO;Ministero;2220;12
761190;95044230654;AZIENDA OSPEDALIERO UNIVERSITARIA SAN GIOVANNI DI DIO E RUGGI D'ARAGONA - SCUOLA MEDICA SALERNITANA;Azienda o ente del servizio sanitario nazionale;2500;15
761347;95501020010;AZIENDA OSPEDALIERO UNIVERSITARIA S. LUIGI GONZAGA;Azienda o ente del servizio sanitario nazionale;2500;01
765128;97061010589;AGENZIA SPAZIALE ITALIANA-ASI;Istituto o ente pubblico di ricerca;2711;12
766316;97547570016;EDISU - ENTE REGIONALE PER IL DIRITTO ALLO STUDIO UNIVERSITARIO DEL PIEMONTE;Altro ente pubblico non economico locale;2791;01
766562;98003770785;CONSORZIO VALLE CRATI;Consorzio di diritto pubblico;2740;18
2268342;00168660462;COMUNE DI MASSAROSA;Comune;2430;09
2371894;00396990210;COMUNE DI LACES - GEMEINDE LATSCH;Comune;2430;04
3997899;80004420065;CONSORZIO PER L'ISTITUTO PER LA STORIA DELLA RESISTENZA DELLA PROVINCIA DI ALESSANDRIA;Consorzio di diritto pubblico;2740;01
6854325;00379240229;ISTITUTO CULTURALE LADINO MAJON DI FASCEGN/ISTITUT CULTURAL LADIN;Altro ente pubblico non economico locale;2791;04
12516597;84001650302;COMUNE DI RAVASCLETTO;Comune;2430;06
12534540;90002610013;COMUNE DI PECETTO TORINESE;Comune;2430;01
12804532;00206240251;COMUNE DI CIBIANA DI CADORE;Comune;2430;05
14305225;97153420589;ENTE REGIONALE ROMANATURA;Ente parco;2751;12
15481277;90025420101;BACINO IMBRIFERO MONTANO DEL TREBBIA;Consorzio di diritto pubblico;2740;07
15746960;83002190243;CONSORZIO DEI COMUNI COMPRESI NEL BACINO IMBRIFERO MONTANO DEL FIUME BACCHIGLIONE - VI;Consorzio di diritto pubblico;2740;05
15751032;87006110172;CONSORZIO DEI COMUNI BRESCIANI DEL BACINO IMBRIFERO MONTANO SARCA-MINCIO E GARDA-SALÒ;Consorzio di diritto pubblico;2740;03
17202769;93001040919;CONSORZIO DEL BACINO IMBRIFERO MONTANO DEL TALORO;Consorzio di diritto pubblico;2740;20
17395840;91013460240;COMUNE DI POVE DEL GRAPPA;Comune;2430;05
17949590;02359760713;CONSORZIO IGIENE AMBIENTALE BACINO FG/4;Consorzio di diritto pubblico;2740;16
18631164;91016930488;UNIONE DEI COMUNI CIRCONDARIO DELL'EMPOLESE VALDELSA;Unione di comuni;2450;09
18900411;80000190647;AMMINISTRAZIONE PROVINCIALE AVELLINO;Provincia;2420;15
19174014;94200620634;ENTE D'AMBITO NAPOLI VOLTURNO- ATO 2 IN LIQUIDAZIONE;Consorzio di diritto pubblico;2740;15
19649692;02952440242;UNIONE DEI COMUNI CALDOGNO COSTABISSARA ISOLA VICENTINA;Unione di comuni;2450;05
20933392;02329020842;UNIONE DEI COMUNI BOVO MARINA ERACLEA MINOA TORRE SALSA;Unione di comuni;2450;19
20955216;07412151008;UNIONE DEI COMUNI VALLE DEL TEVERE - SORATTE;Unione di comuni;2450;12
73790;00379280092;COMUNE DI CASTELVECCHIO DI ROCCA BARBENA;Comune;2430;07
75043;00385810445;COMUNE DI PETRITOLI;Comune;2430;11
76234;00392350799;COMUNE DI FRANCAVILLA ANGITOLA;Comune;2430;18
77087;00397470873;CITTA' METROPOLITANA DI CATANIA;Citta' metropolitana;2460;19
77122;00397740879;COMUNE DI ZAFFERANA ETNEA;Comune;2430;19
80077;00415540137;COMUNE DI FIGINO SERENZA;Comune;2430;03
80134;00415790138;COMUNE DI LURATE CACCIVIO;Comune;2430;03
80979;00421140039;COMUNE DI TRAREGO VIGGIONA;Comune;2430;01
81942;00426640041;COMUNE DI COSTIGLIOLE SALUZZO;Comune;2430;01
82957;00432110211;COMUNE DI GLORENZA;Comune;2430;04
83780;00436290217;COMUNE DI SESTO;Comune;2430;04
87028;00453460545;AGENZIA PER IL DIRITTO ALLO STUDIO UNIVERSITARIO DELL'UMBRIA;Altro ente pubblico non economico locale;2791;10
88501;00462110123;COMUNE DI PORTO CERESIO;Comune;2430;03
89429;00467130076;INSTITUT VALDOTAIN DE L'ARTISANAT DE TRADITION (IVAT);Altro ente pubblico non economico locale;2791;02
89430;00467130183;COMUNE DI SOMMO;Comune;2430;03
90731;00473260180;COMUNE DI BREME;Comune;2430;03
91564;00477430128;COMUNE DI VALGANNA;Comune;2430;03
30452252;01629350198;AZIENDA SOCIO SANITARIA TERRITORIALE DI CREMA;Azienda o ente del servizio sanitario nazionale;2500;03
25193645;90007540199;CONSORZIO CASALASCO SERVIZI SOCIALI;Consorzio di diritto pubblico;2740;03
6853475;00374850220;AZ.PUBBLICA DI SERVIZI ALLA PERSONA SAN GIUSEPPE;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
25499733;90024210511;UNIONE DEI COMUNI DEL PRATOMAGNO;Unione di comuni;2450;09
6926605;00727270720;ISTITUTO TUMORI GIOVANNI PAOLO II - IRCCS BARI;Istituto o ente pubblico di ricerca;2711;16
7152400;01668320151;FONDAZIONE IRCCS ISTITUTO NAZIONALE NEUROLOGICO CARLO BESTA;Istituto o ente pubblico di ricerca;2711;03
7261728;02315520920;AZIENDA DI RILIEVO NAZIONALE ED ALTA SPECIALIZZAZIONE G.BROTZU;Azienda o ente del servizio sanitario nazionale;2500;20
21617815;08123891007;DISCO - ENTE REGIONALE PER IL DIRITTO ALLO STUDIO E LA PROMOZIONE DELLA CONOSCENZA;Altro ente pubblico non economico locale;2791;12
21626236;90036000595;ENTE PARCO REGIONALE RIVIERA DI ULISSE;Ente parco;2751;12
22299126;92047650053;ENTE DI GOVERNO DELL'AMBITO N. 5 ASTIGIANO-MONFERRATO;Altro ente pubblico non economico locale;2791;01
23347073;90019200600;UNIONE DEI COMUNI DELLE MAINARDE;Unione di comuni;2450;12
24073804;90169090736;UNIONE DEI COMUNI DI CRISPIANO MASSAFRA STATTE;Unione di comuni;2450;16
24930340;90007390900;UNIONE DEL LOGUDORO;Unione di comuni;2450;20
25084045;03179300920;UNIONE DEI COMUNI DEL GERREI;Unione di comuni;2450;20
25617022;06931240722;AMMINISTRAZIONE PROVINCIALE DI  BARLETTA, ANDRIA  E  TRANI;Provincia;2420;16
26279471;02638720801;AZIENDA SANITARIA PROVINCIALE N.5 DI REGGIO CALABRIA;Azienda o ente del servizio sanitario nazionale;2500;18
27291108;02023220565;ENTE MONTI CIMINI - RISERVA NATURALE REGIONALE LAGO DI VICO;Ente parco;2751;12
28332472;01499590550;AZIENDA UNITA' SANITARIA LOCALE UMBRIA 2;Azienda o ente del servizio sanitario nazionale;2500;10
29256263;02169070519;COMUNE DI PRATOVECCHIO STIA;Comune;2430;09
29256293;03504880133;COMUNE DI VERDERIO;Comune;2430;03
92937;00484170188;COMUNE DI INVERNO E MONTELEONE;Comune;2430;03
93879;00489010181;COMUNE DI CURA CARPIGNANO;Comune;2430;03
94078;00490180288;COMUNE DI DUE CARRARE;Comune;2430;05
95150;00496080243;AMMINISTRAZIONE PROVINCIALE DI VICENZA;Provincia;2420;05
98271;00512830308;COMUNE DI CIVIDALE DEL FRIULI;Comune;2430;06
100180;00522580240;COMUNE DI MONTICELLO CONTE OTTO;Comune;2430;05
102152;00533860169;COMUNE DI ALMENNO SAN SALVATORE;Comune;2430;03
103467;00543130165;COMUNE DI PARZANICA;Comune;2430;03
104086;00547750166;COMUNE DI PREDORE;Comune;2430;03
104445;00550180822;COMUNE DI GRATTERI;Comune;2430;19
106588;00564160133;COMUNE DI MONGUZZO;Comune;2430;03
107151;00568130132;COMUNE DI TACENO;Comune;2430;03
107855;00572300168;COMUNE DI COSTA VOLPINO;Comune;2430;03
108749;00577500101;ISTITUTO GIANNINA GASLINI;Istituto o ente pubblico di ricerca;2711;07
111341;00592160105;COMUNE DI CHIAVARI;Comune;2430;07
116141;00617480272;COMUNE DI MUSILE DI PIAVE;Comune;2430;05
116905;00621100270;COMUNE DI CHIOGGIA;Comune;2430;05
117895;00625410170;COMUNE DI COLOGNE;Comune;2430;03
7512238;80009620438;AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA IRCR MACERATA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;11
7562388;92002550504;SANTA CHIARA AZIENDA PUBBLICA DI SERVIZI ALLA PERSONA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;09
7581712;98007650173;UNIVERSITA' DEGLI STUDI DI BRESCIA;Universita' pubblica;2620;03
710671;80020830826;ENTE SVILUPPO AGRICOLO;Ente di sviluppo agricolo regionale o di altro ente locale;2753;19
39697;00217340561;COMUNE DI CAPRANICA;Comune;2430;12
32109046;92059390630;AMBITO TERRITORIALE OTTIMALE NAPOLI 3;Altro ente pubblico non economico locale;2791;15
24073892;02270290907;AGRIS SARDEGNA - AGENZIA PER LA RICERCA IN AGRICOLTURA;Ente di sviluppo agricolo regionale o di altro ente locale;2753;20
7512327;80009750367;CHARITAS ASP SERVIZI ASSISTENZIALI DISA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;08
7512584;80010120238;CONSORZIO DEI COMUNI DEL BACINO IMBRIFERO MONTANO DELL'ADIGE DELLA PROVINCIA DI VERONA;Consorzio di diritto pubblico;2740;05
7516110;80016180327;PRO SENECTUTE A.S.P.;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;06
29864067;02510950690;UNIONE DEI COMUNI MONTANI MAIELLA ORIENTALE-VERDE AVENTINO;Unione di comuni;2450;13
30282925;90065260029;UNIONE MONTANA DEI COMUNI DEL BIELLESE ORIENTALE;Unione di comuni;2450;01
30452222;09320420962;AZIENDA SOCIO SANITARIA TERRITORIALE NORD MILANO;Azienda o ente del servizio sanitario nazionale;2500;03
30452234;09323530965;AZIENDA SOCIO SANITARIA TERRITORIALE RHODENSE;Azienda o ente del servizio sanitario nazionale;2500;03
30452237;02401910225;COMUNE DI CONTA';Comune;2430;04
30453550;92520790012;UNIONE MONTANA DELLA VAL GALLENCA;Unione di comuni;2450;01
30495282;04025620719;UNIONE DEI COMUNI DEI MONTI DAUNI;Unione di comuni;2450;16
30862154;90075000571;CONSORZIO SOCIALE RI/1;Consorzio di diritto pubblico;2740;12
30871477;95034980185;UNIONE DEI COMUNI LOMBARDA BORGHI E VALLI D'OLTREPO';Unione di comuni;2450;03
31046751;01440500526;COMUNE DI MONTALCINO;Comune;2430;09
31146211;91091240118;AUTORITA' DI SISTEMA PORTUALE DEL MAR LIGURE ORIENTALE;Ente o autorita' portuale;2752;07
31574393;02654220025;COMUNE DI CELLIO CON BREIA;Comune;2430;01
31686070;92244600927;CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI CAGLIARI -ORISTANO;Camera di commercio;2720;20
31882158;93109350616;AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO MERIDIONALE;Altro ente pubblico non economico locale;2791;15
32444526;91039170815;PARCO ARCHEOLOGICO DI LILIBEO-MARSALA;Ente parco;2751;19
32607312;02599270200;UNIONE DI COMUNI LOMBARDA ESSEVUM DI ROVERBELLA E CASTELBELFORTE;Unione di comuni;2450;03
33621630;03990310926;AZIENDA SOCIO SANITARIA LOCALE N.7 DEL SULCIS (ASL N.7 DEL SULCIS);Azienda o ente del servizio sanitario nazionale;2500;20
118030;80014970638;ISTITUTO AUTONOMO PER LE CASE POPOLARI DELLA PROVINCIA DI NAPOLI IN LIQUIDAZIONE;Altro ente pubblico non economico locale;2791;15
118893;00629950130;COMUNE DI MANDELLO DEL LARIO;Comune;2430;03
120175;00637090135;COMUNE DI DIZZASCO;Comune;2430;03
120950;00641440367;COMUNE DI GUIGLIA;Comune;2430;08
122244;00648380871;COMUNE DI MILO;Comune;2430;19
122980;00652810102;COMUNE DI CERANESI;Comune;2430;07
124849;00662800168;COMUNE DI CAVERNAGO;Comune;2430;03
126127;00670360239;COMUNE DI ERBEZZO;Comune;2430;05
127002;00675070361;CAMERA DI COMMERCIO INDUSTRIA ARTIGIANATO E AGRICOLTURA DI MODENA;Camera di commercio;2720;08
128429;00682290283;COMUNE DI SAN GIORGIO DELLE PERTICHE;Comune;2430;05
129562;00688320134;COMUNE DI ALBAVILLA;Comune;2430;03
132975;00707580585;ENTE AUTONOMO PARCO NAZIONALE D'ABRUZZO, LAZIO E MOLISE;Ente parco;2751;13
133317;00709660138;COMUNE DI CAVARGNA;Comune;2430;03
140407;00747990166;COMUNE DI BRUMANO;Comune;2430;03
150712;00798940151;COMUNE DI SAN GIULIANO MILANESE;Comune;2430;03
156142;00821180577;AZIENDA UNITA' SANITARIA LOCALE RIETI;Azienda o ente del servizio sanitario nazionale;2500;12
157299;00826220170;COMUNE DI LIMONE SUL GARDA;Comune;2430;03
161458;00843000175;COMUNE DI SAN FELICE DEL BENACO;Comune;2430;03
24275817;93049320208;CONSORZIO PROGETTO SOLIDARIETA';Consorzio di diritto pubblico;2740;03
699025;80000450512;COMUNE DI FOIANO DELLA CHIANA;Comune;2430;09
15893861;80018140287;FONDAZIONE MOSCON GAZZA LUIGI FIDENZIO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;05
15907634;84002000275;CONSORZIO DEI COMUNI DEL BACINO IMBRIFERO MONTANO DEL BASSO PIAVE DELLA PROVINCIA DI VENEZIA;Consorzio di diritto pubblico;2740;05
699955;80001770843;COMUNE DI CASTELTERMINI;Comune;2430;19
750705;93003530750;COMUNE DI MONTERONI DI LECCE;Comune;2430;16
754970;94000290166;COMUNE DI ZOGNO;Comune;2430;03
761062;95037220241;IPAB SUOR DIODATA BERTOLO;Istituto pubblico di assistenza e beneficenza;2712;05
7542746;81000610816;BOCCONE DEL POVERO RIGGIRELLO;Istituto pubblico di assistenza e beneficenza;2712;19
7544297;81003040474;A.S.P. S.DOMENICO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;09
21026726;97179020827;UNIONE DEI COMUNI DEL CORLEONESE;Unione di comuni;2450;19
7547387;82001750460;RESIDENZA SOCIO-SANITARIA PIO ISTITUTO CAMPANA A.P.S.P.;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;09
7550724;83000910147;COMUNE DI VALDISOTTO;Comune;2430;03
7553696;84005090307;AZ.SERV.PERS.CASA OP.VECCHI INABILI AL LAVORO MATTEO BRUNETT;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;06
7556463;87000590171;CONSORZIO B.I.M. CHIESE/CONSIGLIO DI VALLE SABBIA;Consorzio di diritto pubblico;2740;03
7556857;90000220211;COMUNITA' COMPRENSORIALE WIPPTAL-ALTA VAL D'ISARCO;Comunita' montana o isolana;2440;04
7563342;92007810028;CONSORZIO INTERCOMUNALE SERVIZI SOCIO ASSISTENZIALI BIELLESE ORIENTALE -CISSABO;Consorzio di diritto pubblico;2740;01
7565252;93001110217;BURGERHEIM ST. NIKOLAUS VON DER FLUE -APSP DI SILANDRO;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;04
800000067;01556360152;COMUNE DI BESANA IN BRIANZA;Comune;2430;03
12514983;81005750070;UNIONE DEI COMUNI VALDOSTANI EVANCON;Unione di comuni;2450;02
722094;82004730279;RESIDENZA 'RIVIERA DEL BRENTA';Istituto pubblico di assistenza e beneficenza;2712;05
24111375;03099960365;ASP TERRE DI CASTELLI GIORGIO GASPARINI;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;08
449166;02177820244;CENTRO SERVIZI SOCIALI ' VILLA SERENA';Istituto pubblico di assistenza e beneficenza;2712;05
101289;00528930241;CASA DI RIPOSO S.GIOVANNI BATTIS;Istituto pubblico di assistenza e beneficenza;2712;05
720354;82000770238;CASA DI RIPOSO DOMENICO CARDO;Istituto pubblico di assistenza e beneficenza;2712;05
165400;00859070104;COMUNE DI TIGLIETO;Comune;2430;07
166587;00863380176;CONSORZIO DEI COMUNI DEL BACINO IMBRIFERO MONTANO DI VALLE CAMONICA;Consorzio di diritto pubblico;2740;03
172142;00886000173;COMUNE DI CASTEL MELLA;Comune;2430;03
187963;00956680375;COMUNE DI MONZUNO;Comune;2430;08
191430;00971620067;ENTE DI GESTIONE DEI SACRI MONTI;Ente parco;2751;01
199287;01009620152;COMUNE DI MARCALLO CON CASONE;Comune;2430;03
206769;01042720373;COMUNE DI MARZABOTTO;Comune;2430;08
211571;01063800153;COMUNE DI GIUSSANO;Comune;2430;03
250878;01232710374;COMUNE DI BOLOGNA;Comune;2430;08
262122;01277110837;COMUNE DI ROCCELLA VALDEMONE;Comune;2430;19
270618;01310860505;AZIENDA OSPEDALIERO UNIVERSITARIA PISANA;Azienda o ente del servizio sanitario nazionale;2500;09
272910;01320740580;AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE -ENEA;Istituto o ente pubblico di ricerca;2711;12
283980;01367190806;GRANDE OSPEDALE METROPOLITANO BIANCHI - MELACRINO - MORELLI;Azienda o ente del servizio sanitario nazionale;2500;18
307289;01477970154;COMUNE DI CAVENAGO DI BRIANZA;Comune;2430;03
324482;01550320061;ENTE DI GESTIONE DELLE AREE PROTETTE DELL'APPENNINO PIEMONTESE;Altro ente pubblico non economico locale;2791;01
346300;01639920154;COMUNE DI CASTANO PRIMO;Comune;2430;03
32904861;91099210931;ENTE DI DECENTRAMENTO REGIONALE DI PORDENONE;Altro ente pubblico non economico locale;2791;06
17618864;05165930727;COMUNE DI NOICATTARO;Comune;2430;16
34022467;95315120634;SCUOLA SUPERIORE MERIDIONALE;Universita' pubblica;2620;15
34185133;02500660440;AZIENDA SANITARIA TERRITORIALE DI FERMO;Azienda o ente del servizio sanitario nazionale;2500;11
19089215;02850670247;CONSIGLIO DI BACINO BACCHIGLIONE;Altro ente pubblico non economico locale;2791;05
25927301;01760920387;EPPI - MANICA - SALVATORI;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;08
26030980;91094630331;AZALEA ASP;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;08
26279416;02235970031;CONSORZIO RIFIUTI DEL VERBANO CUSIO OSSOLA -C.R.VCO;Consorzio di diritto pubblico;2740;01
21618663;08166891005;I.R.A.I.M. A.S.P. ISTITUTI RAGGRUPPATI PER L'ASSISTENZA ALL;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;12
8260034;00191990456;COMUNE DI ZERI;Comune;2430;09
8656318;01570460699;CONSORZIO COMPRENSORIALE DEL CHIETINO PER LO SMALTIMENTO DEI RIFI UTI SOLIDI URBANI;Consorzio di diritto pubblico;2740;13
8833048;02345150045;ENTE DI GESTIONE DELLE AREE PROTETTE DEL MONVISO;Ente parco;2751;01
9153072;80072720636;CONSORZIO CIMITERIALE DEI COMUNI DI CERCOLA SAN SEBASTIANO AL VESUVIO E MASSA DI SOMMA;Consorzio di diritto pubblico;2740;15
9155488;80101860635;CONSORZIO CIMITERIALE TRA I COMUNI DI MUGNANO DI NAPOLI E CALVIZZANO;Consorzio di diritto pubblico;2740;15
9175255;84007190014;CONSORZIO DEL BACINO IMBRIFERO MONTANO DORA BALTEA;Consorzio di diritto pubblico;2740;01
10697317;00363920794;COMUNE DI MONTEROSSO CALABRO;Comune;2430;18
10700890;80002050625;COMUNE DI PADULI;Comune;2430;15
10701104;82001370756;COMUNE DI NARDO';Comune;2430;16
10701144;83002690432;COMUNE DI SANT'ANGELO IN PONTANO;Comune;2430;11
10701541;94031700712;ENTE PARCO NAZIONALE DEL GARGANO;Ente parco;2751;16
10713131;00185430477;COMUNE DI SERRAVALLE PISTOIESE;Comune;2430;09
10720677;01741580060;CONSORZIO INTERCOMUNALE SOCIO ASSISTENZIALE C.I.S.A. - TORTONA;Consorzio di diritto pubblico;2740;01
11135542;80000710519;CASA DI RIPOSO 'V. FOSSOMBRONI';Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;09
11138203;80015050240;CASA DI RIPOSO GODI SGARGI;Istituto pubblico di assistenza e beneficenza;2712;05
31580641;01303700320;CONSORZIO DI SVILUPPO ECONOMICO LOCALE DELL'AREA GIULIANA;Consorzio di diritto pubblico;2740;06
11141506;82002830022;AZIENDA DI SERVIZI ALLA PERSONA S. ANNA;Azienda pubblica di servizi alle persone ai sensi del d.lgs n. 207/2001;1630;01
395629;01874230343;AZIENDA UNITA' SANITARIA LOCALE DI PARMA;Azienda o ente del servizio sanitario nazionale;2500;08
413075;01971350150;COMUNE DI CINISELLO BALSAMO;Comune;2430;03
422442;02026560157;COMUNE DI VIMERCATE;Comune;2430;03
433914;02089080010;COMUNE DI BIBIANA;Comune;2430;01
436067;02101050546;AZIENDA OSPEDALIERA DI PERUGIA;Azienda o ente del servizio sanitario nazionale;2500;10
470316;02311370585;COMUNE DI ARTENA;Comune;2430;12
489013;02457750582;COMUNE DI NEROLA;Comune;2430;12
515355;02799490277;AZIENDA ULSS N.4 VENETO ORIENTALE;Azienda o ente del servizio sanitario nazionale;2500;05
517729;02850270584;COMUNE DI ARICCIA;Comune;2430;12
521807;02925890580;COMUNE DI MANZIANA;Comune;2430;12
539473;03243880154;COMUNE DI BRUGHERIO;Comune;2430;03
557748;03674570159;COMUNE DI CASSANO D'ADDA;Comune;2430;03
586067;04290860370;AGENZIA REGIONALE PER LA PREVENZIONE, L'AMBIENTE E L'ENERGIA DELL'EMILIA ROMAGNA - ARPAE;Ente ambientale regionale;2755;08
